group;salaryAnnualEstimate
Ensemble sciences humaines et sociales;34500
Information communication;31000
Informatique;35400
Ensemble formations juridiques, économiques et de gestion;33500
Économie;38600
Économie;41000
Gestion;33700
Autres formations juridiques, économiques et de gestion;32400
Droit;31200
Gestion;31200
Ensemble sciences, technologies et santé;33700
Ensemble formations juridiques, économiques et de gestion;31200
Droit;28100
Ensemble sciences humaines et sociales;32400
Informatique;33700
Autres formations juridiques, économiques et de gestion;33900
Information communication;31450
Ensemble sciences, technologies et santé;35400
