Annee;Discipline;situation;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile
2018;Ensemble sciences humaines et sociales;30 mois après le diplôme;27;82;3;88;99;99;21;2100;34500;24;9.3;1810;;32;1410;2170
2018;Information communication;18 mois après le diplôme;27;82;3;98;98;87;87;1900;31000;24;9.3;1810;;67;1410;2170
2018;Informatique;30 mois après le diplôme;38;54;7;97;100;97;100;2270;35400;24;9.3;1810;;36;1410;2170
2018;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;742;86;89;92;90;86;98;2150;33500;24;9.3;1810;;58;1410;2170
2018;Économie;18 mois après le diplôme;94;87;11;92;96;79;99;2480;38600;24;9.3;1810;;48;1410;2170
2018;Économie;30 mois après le diplôme;94;87;11;96;93;83;98;2630;41000;24;9.3;1810;;48;1410;2170
2018;Gestion;30 mois après le diplôme;421;85;51;90;89;89;99;2160;33700;24;9.3;1810;;56;1410;2170
2018;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;9;87;1;96;90;76;99;2560;32400;24;9.3;1810;;39;1410;2170
2018;Droit;30 mois après le diplôme;218;88;26;94;92;83;98;2000;31200;24;9.3;1810;;69;1410;2170
2018;Gestion;18 mois après le diplôme;421;85;51;92;90;77;99;2000;31200;24;9.3;1810;;56;1410;2170
2018;Ensemble sciences, technologies et santé;18 mois après le diplôme;38;54;7;100;100;97;100;2160;33700;24;9.3;1810;;36;1410;2170
2018;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;742;86;89;92;89;73;98;2000;31200;24;9.3;1810;;58;1410;2170
2018;Droit;18 mois après le diplôme;218;88;26;93;84;66;96;1800;28100;24;9.3;1810;;69;1410;2170
2018;Ensemble sciences humaines et sociales;18 mois après le diplôme;27;82;3;88;98;88;98;1980;32400;24;9.3;1810;;57;1410;2170
2018;Informatique;18 mois après le diplôme;38;54;7;100;100;97;100;2160;33700;24;9.3;1810;;36;1410;2170
2018;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;9;87;1;94;95;90;90;2310;33900;24;9.3;1810;;56;1410;2170
2018;Information communication;30 mois après le diplôme;27;82;3;92;94;97;80;2210;31450;24;9.3;1810;;43;1410;2170
2018;Ensemble sciences, technologies et santé;30 mois après le diplôme;38;54;7;97;100;97;100;2270;35400;24;9.3;1810;;36;1410;2170
